Treat,prod,time,Block,fiber_kgha,seed_kgha,Mic,Pol,Len,Str,Unf,Elg,Rd,mais_b,SFI,Mat,SCI,CSP,N,K,P,Ca,Mg,S
1,control,control,1,1526.1,1604.2,4.7,1.2,30.6,26.9,83.3,5.7,81.8,6.9,7.1,0.9,129,2322,42,17,4.3,31.7,7.9,2.5
1,control,control,2,1074.2,1282.2,4.4,1.2,30.4,28.6,84.2,5.3,78.1,6,6.2,0.9,139,2342,43.4,9.7,4.9,32.3,10.6,3
1,control,control,3,1586.2,1699.5,4.8,1.2,29.9,27.8,82,5.5,82.6,6.5,8.2,0.9,124,2305,47.6,10.4,6,32,10.6,2.9
1,control,control,4,1148.2,1207.3,4.3,1.1,29,26.7,82.5,5.9,80.3,5.7,6.1,0.9,124,2308,44.8,11,4,30,10,2
2,MOP,PRE,1,1727.6,1986.4,4.5,1.2,30.6,27.5,86.1,5.7,81.3,6.9,5.7,0.9,146,2378,34.3,19.8,4.9,31,9,2.9
2,MOP,PRE,2,1445.8,1666.4,4.3,1.2,30.3,28,83.1,5.6,81.7,8,7.2,0.9,135,2319,42.7,19.1,4.3,32.4,8.8,3.1
2,MOP,PRE,3,2245.4,2737.5,4.3,1.2,30.5,30.5,83.5,5.5,82.9,7.4,6,0.9,145,2385,43.4,17,2.9,29.2,7.6,3
2,MOP,PRE,4,1927.5,2338.6,4.3,1.2,30.4,28.1,83.4,5.7,79.6,7.7,6.3,0.9,135,2294,49.7,15.7,5.1,37.5,8.6,2.9
3,Poly,PRE,1,1371.4,1725.8,4.1,1.2,31.3,28,85.3,6,81.7,7.3,4.2,0.9,149,2424,46.9,17.7,4.6,30,10.5,2.9
3,Poly,PRE,2,1678.3,1925.6,4.8,1.2,30.5,29.9,82.1,5.4,84.1,7.5,7.4,0.9,133,2341,44.8,19.1,4.9,30.5,9.5,3
3,Poly,PRE,3,1857.9,2138.9,4.5,1.2,31.5,26.9,84.7,5.8,82.8,7,4,0.9,141,2416,45.5,15.7,4.4,31.5,7.9,3
3,Poly,PRE,4,1822.2,2091.3,4.5,1.2,30.6,30.6,84.3,5.7,80.9,6.8,6,0.9,146,2372,43.4,19.1,3,30,8.5,2.9
4,M_P,PRE,1,1744,1975.9,4.8,1.2,30.1,26.6,84.3,5.6,80.7,6.7,6.5,0.9,131,2294,46.9,16.4,4,30.9,8.9,3
4,M_P,PRE,2,1767,2314.1,4.5,1.3,31.7,31,84.4,5.6,82.3,7.4,4.9,0.9,151,2428,42.7,19.1,5.5,29.5,8.8,3
4,M_P,PRE,3,1397.5,1990.1,4.6,1.2,30,27.7,84.9,5.5,81.3,7.2,5.3,0.9,139,2323,41.3,15,1.6,31.2,6.7,3
4,M_P,PRE,4,1964.1,2339.2,4.4,1.2,30.7,27.9,83.4,5.9,83.2,7.6,6.9,0.9,137,2365,49,16.4,5.5,42.5,8.5,3.2
5,MOP,POS,1,1997.2,2275,4.7,1.2,31.4,27.5,84.4,5.8,81.5,7,5.2,0.9,138,2363,50.4,19.1,5,31.8,9.4,3
5,MOP,POS,2,1702.6,1792.7,4.6,1.2,29.8,28.5,83.7,5.9,81,7.2,5.8,0.9,135,2313,51.1,15.7,5,30.3,8.1,2.7
5,MOP,POS,3,1834.5,2023,4.2,1.3,31.8,25.4,84.9,5.5,82,7.4,4.9,0.9,140,2408,44.1,17.7,4,33.5,9.1,3
5,MOP,POS,4,1972.8,2230.5,4.3,1.2,29.6,27.6,82.1,5.4,80.4,7.1,7.1,0.9,127,2292,39.2,19.1,4,32,8.5,3
6,Poly,POS,1,1667.3,1843,4.8,1.1,28.2,27.3,83,6,82.1,6.7,5.6,0.9,124,2244,44.1,21.2,3.7,34.6,10.5,3.2
6,Poly,POS,2,1591.1,1931.6,4.7,1.2,30.5,27.1,84.8,5.9,80.7,7.6,4.9,0.9,136,2283,42,21.2,5,32.3,11.4,3
6,Poly,POS,3,1864.3,2035.5,4.5,1.2,31.3,28.8,81.1,5.7,81.4,7.2,6.9,0.9,127,2327,41.3,24.1,1.5,37.5,10.7,3
6,Poly,POS,4,1708,1928.4,4.2,1.2,31.3,29.9,85.4,5.8,83.3,6.8,4.7,0.9,155,2474,49,18.4,4.5,34,9.6,3
