Treat,prod,time,Block,fiber_kgha,seed_kgha,Mic,Pol,Len,Str,Unf,Elg,Rd,mais_b,SFI,Mat,SCI,CSP,N,K,P,Ca,Mg,S
1,control,control,1,1526.0876,1604.2457,4.7100,1.2000,30.5800,26.9000,83.3000,5.7000,81.8000,6.9000,7.1000,0.8700,129.0000,2322.0000,42.0000,17.0000,4.3200,31.7000,7.8500,2.5000
1,control,control,2,1074.1827,1282.1506,4.3700,1.2000,30.4000,28.6000,84.2000,5.3000,78.1000,6.0000,6.2000,0.8700,139.0000,2342.0000,43.4000,9.7000,4.8700,32.3000,10.5500,3.0000
1,control,control,3,1586.1914,1699.4753,4.7500,1.1800,29.8800,27.8000,82.0000,5.5000,82.6000,6.5000,8.2000,0.8800,124.0000,2305.0000,47.6000,10.4000,6.0000,32.0000,10.5500,2.9000
1,control,control,4,1148.1640,1207.3360,4.3000,1.1400,29.0300,26.7000,82.5000,5.9000,80.3000,5.7000,6.1000,0.8600,124.0000,2308.0000,44.8000,11.0000,4.0000,30.0000,10.0000,2.0000
2,MOP,PRE,1,1727.6328,1986.3672,4.5100,1.2100,30.6200,27.5000,86.1000,5.7000,81.3000,6.9000,5.7000,0.8700,146.0000,2378.0000,34.3000,19.8000,4.9200,31.0000,9.0000,2.9000
2,MOP,PRE,2,1445.7601,1666.4066,4.2600,1.1900,30.2500,28.0000,83.1000,5.6000,81.7000,8.0000,7.2000,0.8600,135.0000,2319.0000,42.7000,19.1000,4.3000,32.4000,8.7500,3.1333
2,MOP,PRE,3,2245.3629,2737.4705,4.3400,1.2000,30.4900,30.5000,83.5000,5.5000,82.9000,7.4000,6.0000,0.8700,145.0000,2385.0000,43.4000,17.0000,2.9000,29.2000,7.6000,3.0000
2,MOP,PRE,4,1927.5230,2338.6436,4.3300,1.2000,30.3800,28.1000,83.4000,5.7000,79.6000,7.7000,6.3000,0.8700,135.0000,2294.0000,49.7000,15.7000,5.1000,37.5000,8.6000,2.9000
3,Poly,PRE,1,1371.3669,1725.7998,4.1400,1.2300,31.3000,28.0000,85.3000,6.0000,81.7000,7.3000,4.2000,0.8600,149.0000,2424.0000,46.9000,17.7000,4.5700,30.0000,10.4500,2.9000
3,Poly,PRE,2,1678.2667,1925.5666,4.7700,1.2000,30.4700,29.9000,82.1000,5.4000,84.1000,7.5000,7.4000,0.8800,133.0000,2341.0000,44.8000,19.1000,4.9000,30.5000,9.5000,3.0000
3,Poly,PRE,3,1857.9378,2138.8955,4.4700,1.2400,31.5400,26.9000,84.7000,5.8000,82.8000,7.0000,4.0000,0.8700,141.0000,2416.0000,45.5000,15.7000,4.4000,31.5000,7.9000,3.0000
3,Poly,PRE,4,1822.2153,2091.2847,4.5100,1.2000,30.5900,30.6000,84.3000,5.7000,80.9000,6.8000,6.0000,0.8700,146.0000,2372.0000,43.4000,19.1000,3.0000,30.0000,8.5000,2.9000
4,M_P,PRE,1,1743.9582,1975.8752,4.7900,1.1800,30.0700,26.6000,84.3000,5.6000,80.7000,6.7000,6.5000,0.8800,131.0000,2294.0000,46.9000,16.4000,4.0000,30.9000,8.9000,3.0000
4,M_P,PRE,2,1767.0259,2314.1408,4.4500,1.2500,31.6700,31.0000,84.4000,5.6000,82.3000,7.4000,4.9000,0.8700,151.0000,2428.0000,42.7000,19.1000,5.4500,29.5000,8.7500,3.0000
